Date,CO(Carbon Monoxide in mg / m3),CO
9/28/2015,2,1.74580506961799
9/29/2015,2.09,1.8243662977508
9/30/2015,2.71,2.36556586933238
10/1/2015,1.95,1.70215994287754
10/2/2015,1.82,1.58868261335237
10/3/2015,1.67,1.45774723313102
10/4/2015,2.21,1.92911460192788
10/5/2015,1.96,1.71088896822563
10/6/2015,1.7,1.48393430917529
10/7/2015,1.63,1.42283113173866
10/8/2015,1.21,1.05621206711889
10/9/2015,1.54,1.34426990360586
10/10/2015,2.66,2.32192074259193
10/11/2015,3.38,2.95041056765441
10/12/2015,1.72,1.50139235987147
10/13/2015,1.62,1.41410210639057
10/14/2015,2.5,2.18225633702249
10/15/2015,1.47,1.28316672616923
10/16/2015,2.12,1.85055337379507
10/17/2015,6.11,5.33343448768297
10/18/2015,3.03,2.64489468047126
10/19/2015,1.5,1.3093538022135
10/20/2015,3.91,3.41304891110318
10/21/2015,1.14,0.995108889682256
10/22/2015,1.31,1.14350232059979
10/23/2015,1.12,0.977650838986076
10/24/2015,1.06,0.925276686897537
10/25/2015,,0
10/26/2015,1.19,1.03875401642271
10/27/2015,8.22,7.17525883612995
10/28/2015,1.18,1.03002499107462
10/29/2015,1.15,1.00383791503035
10/30/2015,3.63,3.16863620135666
10/31/2015,2.63,2.29573366654766
11/1/2015,1.13,0.986379864334166
11/2/2015,1.36,1.18714744734024
11/3/2015,1.34,1.16968939664406
11/4/2015,3.56,3.10753302392003
11/5/2015,1.24,1.08239914316316
11/6/2015,1.21,1.05621206711889
11/7/2015,1.22,1.06494109246698
11/8/2015,,0
11/9/2015,,0
11/10/2015,1.48,1.29189575151732
11/11/2015,1.07,0.934005712245627
11/12/2015,1.82,1.58868261335237
11/13/2015,2.09,1.8243662977508
11/14/2015,1.56,1.36172795430204
11/15/2015,1.64,1.43156015708675
11/16/2015,1.61,1.40537308104248
11/17/2015,1.6,1.39664405569439
11/18/2015,1.99,1.7370760442699
11/19/2015,1.73,1.51012138521956
11/20/2015,1.72,1.50139235987147
11/21/2015,0.94,0.820528382720457
11/22/2015,0.83,0.724509103891467
11/23/2015,1.35,1.17841842199215
11/24/2015,1.36,1.18714744734024
11/25/2015,2.48,2.16479828632631
11/26/2015,1.52,1.32681185290968
11/27/2015,2.18,1.90292752588361
11/28/2015,2.3,2.00767583006069
11/29/2015,1.55,1.35299892895395
11/30/2015,1.13,0.986379864334166
12/1/2015,1.63,1.42283113173866
12/2/2015,1.7,1.48393430917529
12/3/2015,1.47,1.28316672616923
12/4/2015,2.03,1.77199214566226
12/5/2015,1.72,1.50139235987147
12/6/2015,,0
12/7/2015,1.88,1.64105676544091
12/8/2015,1.81,1.57995358800428
12/9/2015,1.84,1.60614066404855
12/10/2015,1.92,1.67597286683327
12/11/2015,2.07,1.80690824705462
12/12/2015,1.78,1.55376651196001
12/13/2015,1.68,1.46647625847911
12/14/2015,1.33,1.16096037129597
12/15/2015,1.44,1.25697965012496
12/16/2015,1.93,1.68470189218136
12/17/2015,1.55,1.35299892895395
12/18/2015,2.67,2.33064976794002
12/19/2015,2.08,1.81563727240271
12/20/2015,1.44,1.25697965012496
12/21/2015,1.18,1.03002499107462
12/22/2015,1.32,1.15223134594788
12/23/2015,1.62,1.41410210639057
12/24/2015,1.29,1.12604426990361
12/25/2015,1.25,1.09112816851125
12/26/2015,1.2,1.0474830417708
12/27/2015,1.54,1.34426990360586
12/28/2015,1.77,1.54503748661192
12/29/2015,1.58,1.37918600499821
12/30/2015,0.85,0.741967154587647
12/31/2015,1.49,1.30062477686541
1/1/2016,0.69,0.602302749018208
1/2/2016,0.76,0.663405926454838
1/3/2016,0.96,0.837986433416637
1/4/2016,0.89,0.776883255980007
1/5/2016,0.85,0.741967154587647
1/6/2016,0.93,0.811799357372367
1/7/2016,0.79,0.689593002499107
1/8/2016,0.66,0.576115672973938
1/9/2016,0.79,0.689593002499107
1/10/2016,0.8,0.698322027847197
1/11/2016,0.78,0.680863977151018
1/12/2016,1.3,1.1347732952517
1/13/2016,1.02,0.890360585505177
1/14/2016,0.84,0.733238129239557
1/15/2016,0.78,0.680863977151018
1/16/2016,1.02,0.890360585505177
1/17/2016,0.78,0.680863977151018
1/18/2016,0.97,0.846715458764727
1/19/2016,0.98,0.855444484112817
1/20/2016,0.97,0.846715458764727
1/21/2016,0.93,0.811799357372367
1/22/2016,1.15,1.00383791503035
1/23/2016,1.08,0.942734737593717
1/24/2016,0.99,0.864173509460907
1/25/2016,1.23,1.07367011781507
1/26/2016,1.04,0.907818636201357
1/27/2016,1.05,0.916547661549447
1/28/2016,1.16,1.01256694037844
1/29/2016,1.12,0.977650838986076
1/30/2016,1.21,1.05621206711889
1/31/2016,1.32,1.15223134594788
2/1/2016,1.85,1.61486968939664
2/2/2016,1.39,1.21333452338451
2/3/2016,1.9,1.65851481613709
2/4/2016,1.6,1.39664405569439
2/5/2016,1.37,1.19587647268833
2/6/2016,1.81,1.57995358800428
2/7/2016,3.28,2.86312031417351
2/8/2016,1.59,1.3879150303463
2/9/2016,2.19,1.9116565512317
2/10/2016,2.2,1.92038557657979
2/11/2016,2.06,1.79817922170653
2/12/2016,1.7,1.48393430917529
2/13/2016,1.69,1.4752052838272
2/14/2016,1.46,1.27443770082114
2/15/2016,1.73,1.51012138521956
2/16/2016,1.51,1.31808282756159
2/17/2016,1.66,1.44901820778293
2/18/2016,1.51,1.31808282756159
2/19/2016,1.51,1.31808282756159
2/20/2016,1.47,1.28316672616923
2/21/2016,1.45,1.26570867547305
2/22/2016,1.57,1.37045697965013
2/23/2016,1.12,0.977650838986076
2/24/2016,0.94,0.820528382720457
2/25/2016,0.73,0.637218850410568
2/26/2016,0.94,0.820528382720457
